log,,,M1,,,,,M2,,,,,M3,,,,,M4,,,,,M5,,,,
Region,Capitolo,31/12/2019,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,
12-Torino SO,BNI Val Sangone,30,32,2,0,0,CHAPTER,32,1,1,0,CHAPTER,30,0,2,0,CHAPTER,31,2,1,0,CHAPTER,32,1,0,0,CHAPTER
12-Torino SO,BNI Valore,30,29,0,1,0,CHAPTER,28,0,1,0,CHAPTER,27,0,1,0,CHAPTER,27,0,0,0,CHAPTER,27,1,1,0,CHAPTER
12-Torino SO,BNI Young Under 33,21,20,1,2,0,CHAPTER,20,0,0,0,CHAPTER,16,0,4,0,CHAPTER,0,0,16,0,CORE_GRUP,,,,,
13-Piemonte N-Valle D'Aosta,BNI 3 laghi,30,31,2,1,0,CHAPTER,31,0,0,0,CHAPTER,32,2,1,0,CHAPTER,31,0,1,0,CHAPTER,34,3,0,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Airone,46,46,0,0,0,CHAPTER,47,2,1,0,CHAPTER,49,2,0,0,CHAPTER,49,0,0,0,CHAPTER,48,1,2,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Biella,34,36,2,0,0,CHAPTER,37,1,0,0,CHAPTER,37,1,1,0,CHAPTER,35,0,2,0,CHAPTER,35,3,3,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Cinque Campane,28,31,3,0,0,CHAPTER,31,0,0,0,CHAPTER,31,0,0,0,CHAPTER,31,0,0,0,CHAPTER,29,0,2,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Futura,35,32,0,3,0,CHAPTER,30,0,2,0,CHAPTER,28,0,2,0,CHAPTER,30,3,1,0,CHAPTER,28,0,2,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Il Ponte di Galliate,,0,0,0,30,CORE_GRUP,0,0,0,30,CORE_GRUP,0,0,0,30,CORE_GRUP,0,0,0,30,CORE_GRUP,0,0,0,30,CORE_GRUP
13-Piemonte N-Valle D'Aosta,BNI Il Rosa,35,36,1,0,0,CHAPTER,35,0,1,0,CHAPTER,35,0,0,0,CHAPTER,35,1,1,0,CHAPTER,34,0,1,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Le Colline,28,28,0,0,0,CHAPTER,27,0,1,0,CHAPTER,27,0,0,0,CHAPTER,27,0,0,0,CHAPTER,25,1,3,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Lumiere,24,23,0,1,0,CHAPTER,24,1,0,0,CHAPTER,25,1,0,0,CHAPTER,24,0,1,0,CHAPTER,24,0,0,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Monte Bianco,27,27,0,0,0,CHAPTER,26,0,1,0,CHAPTER,26,0,0,0,CHAPTER,26,1,1,0,CHAPTER,26,1,1,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Oxilia,,0,0,0,17,CORE_GRUP,0,0,0,17,CORE_GRUP,0,0,0,17,CORE_GRUP,0,0,0,17,CORE_GRUP,0,0,0,17,CORE_GRUP
13-Piemonte N-Valle D'Aosta,BNI San Carlo,14,0,0,14,0,CHAPTER,,,,,,,,,,,,,,,,,,,,
13-Piemonte N-Valle D'Aosta,BNI Ticino,22,23,2,1,0,CHAPTER,21,0,2,0,CHAPTER,20,0,1,0,CHAPTER,18,1,3,0,CHAPTER,20,3,1,0,CHAPTER
13-Piemonte N-Valle D'Aosta,BNI Villa Cicogna,,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP
14-Piemonte Sud,BNI 100 Torri d'Asti,,0,0,0,3,CORE_GRUP,0,0,0,3,CORE_GRUP,0,0,0,3,CORE_GRUP,0,0,0,3,CORE_GRUP,0,0,0,3,CORE_GRUP
14-Piemonte Sud,BNI Acaja,32,34,2,0,0,CHAPTER,34,0,0,0,CHAPTER,34,1,1,0,CHAPTER,31,0,3,0,CHAPTER,31,1,1,0,CHAPTER
14-Piemonte Sud,BNI Albatross,26,25,0,1,0,CHAPTER,25,0,0,0,CHAPTER,25,0,0,0,CHAPTER,26,2,1,0,CHAPTER,25,0,1,0,CHAPTER
14-Piemonte Sud,BNI Alfieri,20,19,0,1,0,CHAPTER,21,2,0,0,CHAPTER,21,0,0,0,CHAPTER,21,0,0,0,CHAPTER,21,0,0,0,CHAPTER
14-Piemonte Sud,BNI ATHENA,25,28,3,0,0,CHAPTER,32,4,0,0,CHAPTER,32,0,0,0,CHAPTER,32,0,0,0,CHAPTER,32,0,0,0,CHAPTER
14-Piemonte Sud,BNI Augusta,23,25,2,0,0,CHAPTER,24,0,1,0,CHAPTER,24,0,0,0,CHAPTER,24,0,0,0,CHAPTER,24,0,0,0,CHAPTER
14-Piemonte Sud,BNI Barbera,53,54,1,0,0,CHAPTER,55,1,0,0,CHAPTER,54,1,2,0,CHAPTER,56,2,0,0,CHAPTER,56,0,0,0,CHAPTER
14-Piemonte Sud,BNI Belvedere,48,50,2,0,0,CHAPTER,53,4,1,0,CHAPTER,51,0,2,0,CHAPTER,49,0,2,0,CHAPTER,50,1,0,0,CHAPTER
14-Piemonte Sud,BNI Bisalta,39,39,1,1,0,CHAPTER,40,1,0,0,CHAPTER,40,1,1,0,CHAPTER,37,0,3,0,CHAPTER,39,2,0,0,CHAPTER
14-Piemonte Sud,BNI CAMILLO BENSO,,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP
14-Piemonte Sud,BNI Cardo Gobbo,25,25,0,0,0,CHAPTER,23,1,3,0,CHAPTER,20,1,4,0,CHAPTER,19,0,1,0,CHAPTER,19,0,0,0,CHAPTER
14-Piemonte Sud,BNI Cassiopea,12,11,1,2,0,CHAPTER,0,0,11,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP
14-Piemonte Sud,BNI Castagna,19,20,1,0,0,CHAPTER,21,1,0,0,CHAPTER,22,1,0,0,CHAPTER,23,1,0,0,CHAPTER,22,0,1,0,CHAPTER
14-Piemonte Sud,BNI Cheese,32,33,2,1,0,CHAPTER,33,0,0,0,CHAPTER,33,0,0,0,CHAPTER,32,0,1,0,CHAPTER,32,0,0,0,CHAPTER
14-Piemonte Sud,BNI Cicogna Bianca,24,21,0,3,0,CHAPTER,20,0,1,0,CHAPTER,19,0,1,0,CHAPTER,19,0,0,0,CHAPTER,20,1,0,0,CHAPTER
14-Piemonte Sud,BNI Eagle,25,26,1,0,0,CHAPTER,25,0,1,0,CHAPTER,26,2,1,0,CHAPTER,26,0,0,0,CHAPTER,24,0,2,0,CHAPTER
14-Piemonte Sud,BNI Ghironda,32,32,0,0,0,CHAPTER,33,2,1,0,CHAPTER,33,0,0,0,CHAPTER,30,0,3,0,CHAPTER,33,3,0,0,CHAPTER
14-Piemonte Sud,BNI Giorgio Faletti,43,42,0,1,0,CHAPTER,44,2,0,0,CHAPTER,44,0,0,0,CHAPTER,45,1,0,0,CHAPTER,45,0,0,0,CHAPTER
14-Piemonte Sud,BNI Hole in one,,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP
14-Piemonte Sud,BNI Il Forte,,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP
14-Piemonte Sud,BNI La Granda,39,38,2,3,0,CHAPTER,38,1,1,0,CHAPTER,38,0,0,0,CHAPTER,38,1,1,0,CHAPTER,39,1,0,0,CHAPTER
14-Piemonte Sud,BNI Langa e Monferrato,,0,0,0,21,CORE_GRUP,0,0,0,21,CORE_GRUP,0,0,0,21,CORE_GRUP,0,0,0,21,CORE_GRUP,0,0,0,21,CORE_GRUP
14-Piemonte Sud,BNI Mariola,17,21,4,0,0,CHAPTER,20,0,1,0,CHAPTER,21,1,0,0,CHAPTER,22,1,0,0,CHAPTER,22,0,0,0,CHAPTER
14-Piemonte Sud,BNI Morè,,0,0,0,8,CORE_GRUP,0,0,0,8,CORE_GRUP,0,0,0,8,CORE_GRUP,0,0,0,8,CORE_GRUP,0,0,0,8,CORE_GRUP
14-Piemonte Sud,BNI Palio d'Asti,36,37,2,1,0,CHAPTER,35,0,2,0,CHAPTER,35,0,0,0,CHAPTER,34,0,1,0,CHAPTER,35,1,0,0,CHAPTER
14-Piemonte Sud,BNI Porta delle Langhe,33,33,0,0,0,CHAPTER,33,0,0,0,CHAPTER,33,0,0,0,CHAPTER,34,1,0,0,CHAPTER,33,0,1,0,CHAPTER
14-Piemonte Sud,BNI Savoia,49,49,1,1,0,CHAPTER,49,1,1,0,CHAPTER,45,0,4,0,CHAPTER,45,0,0,0,CHAPTER,43,0,2,0,CHAPTER
14-Piemonte Sud,BNI Tartufo,33,33,0,0,0,CHAPTER,34,1,0,0,CHAPTER,32,0,2,0,CHAPTER,33,1,0,0,CHAPTER,31,0,2,0,CHAPTER
14-Piemonte Sud,BNI Terra dei Santi,20,21,2,1,0,CHAPTER,20,0,1,0,CHAPTER,19,0,1,0,CHAPTER,20,1,0,0,CHAPTER,20,0,0,0,CHAPTER
14-Piemonte Sud,BNI Visol,56,58,3,1,0,CHAPTER,57,0,1,0,CHAPTER,54,0,3,0,CHAPTER,53,0,1,0,CHAPTER,51,0,2,0,CHAPTER
15-Alessandria,BNI Aleramo,34,33,0,1,0,CHAPTER,33,1,1,0,CHAPTER,30,0,3,0,CHAPTER,28,0,2,0,CHAPTER,29,1,0,0,CHAPTER
15-Alessandria,BNI Cittadella,24,29,5,0,0,CHAPTER,32,3,0,0,CHAPTER,32,0,0,0,CHAPTER,32,0,0,0,CHAPTER,32,0,0,0,CHAPTER
15-Alessandria,BNI Derthona,,0,0,0,7,CORE_GRUP,0,0,0,7,CORE_GRUP,0,0,0,7,CORE_GRUP,0,0,0,7,CORE_GRUP,0,0,0,7,CORE_GRUP
15-Alessandria,BNI Enterprise,,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP
15-Alessandria,BNI La Bollente,39,34,2,7,0,CHAPTER,34,0,0,0,CHAPTER,34,0,0,0,CHAPTER,32,0,2,0,CHAPTER,29,0,3,0,CHAPTER
