"ID","Id_Region","Id_Cap","Nome","Id_Director","Stato","DataCore","DataCap","ConfDataCore","ConfDataCap","MembriIni","appT2","appT3","appT4","appR","MemLancio","MemLancioRes"
"169","8","12","BNI - POLCEVERA","46","CORE GROUP","2020-03",,"0","0","0","a","n","n","a","0","0"
"170","20","1","BNI - ANTONIO ALLEGRI","63","CAPITOLO","2018-11","2018-12","1","1","32","a","n","n","a","0","0"
"171","20","2","BNI - LA PILOTTA","65","CAPITOLO","2018-11","2018-12","1","1","22","a","p","n","a","0","0"
"173","20","4","BNI - LA ROCCA","61","CAPITOLO","2018-11","2018-12","1","1","43","a","n","n","a","0","0"
"174","20","5","BNI - MARIA LUIGIA","61","CAPITOLO","2018-11","2018-12","1","1","30","a","n","n","a","0","0"
"175","20","6","BNI - MATILDE DI CANOSSA","63","CAPITOLO","2018-11","2018-12","1","1","42","a","n","n","a","0","0"
"176","20","7","BNI - PETITOT","65","CAPITOLO","2018-11","2018-12","1","1","33","a","n","n","a","0","0"
"177","20","8","BNI - SPALLANZANI","63","CAPITOLO","2018-11","2018-12","1","1","28","a","n","n","a","0","0"
"178","20","9","BNI - TRICOLORE","67","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"179","20","10","BNI - DIAMANTE","63","CAPITOLO","2018-11","2019-02","1","1","38","a","n","n","a","90","90"
"180","20","11","BNI - DUCALE","68","CAPITOLO","2018-11","2019-07","1","1","3","a","n","n","a","31","31"
"181","20","12","BNI - VA PENSIERO","63","CAPITOLO",,"2019-04","0","1","0","a","n","n","a","49","49"
"183","20","14","BNI - PORTOVENERE","63","CORE GROUP","2019-09",,"1","0","0","a","n","n","a","0","0"
"184","20","15","BNI - PIER MARIA ROSSI","73","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"185","21","1","BNI - LA VERSILIA","166","CAPITOLO","2018-11","2018-12","1","1","22","a","a","n","a","0","0"
"186","21","2","BNI - LUCCA","24","CAPITOLO","2018-11","2018-12","1","1","26","a","a","n","a","0","0"
"187","21","3","BNI - NOTTOLINI","24","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"188","21","4","BNI - PRATO","24","CAPITOLO","2018-11","2018-12","1","1","19","a","n","n","a","0","0"
"189","21","5","BNI - PUCCINI","24","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"190","21","6","BNI - HELLANA","24","CAPITOLO","2019-04","2019-12","1","1","0","a","n","n","a","20","20"
"191","21","7","BNI - BLUES","24","CAPITOLO","2019-04","2019-12","1","1","0","a","n","n","a","19","19"
"192","21","8","BNI - PONTE DELLA MADDALENA","24","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"193","21","9","BNI - Botero","24","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"194","22","1","BNI - FELSINEA","25","CAPITOLO","2018-11","2018-12","1","1","47","a","n","n","a","0","0"
"195","22","2","BNI - FIBONACCI","25","CAPITOLO","2018-11","2018-12","1","1","40","a","n","n","a","0","0"
"196","22","3","BNI - PARETO","96","CAPITOLO","2018-11","2018-12","1","1","69","a","n","n","a","0","0"
"197","22","4","BNI - SAN PETRONIO","25","CAPITOLO","2018-11","2018-12","1","1","53","a","n","n","a","0","0"
